system:index,mean,name,.geo
20000301_1,3.8872151374816895,Bogota,
20000301_2,6.037542819976807,Cali,
20000301_3,125.5497055053711,Quidbo,
20000306_0,1.1211975812911987,Baranquilla,
20000306_1,6.417705059051514,Bogota,
20000306_2,27.997257232666016,Cali,
20000306_3,150.68560791015625,Quidbo,
20000311_0,0.4189333915710449,Baranquilla,
20000311_1,3.496389627456665,Bogota,
20000311_2,7.085529804229736,Cali,
20000311_3,91.66215515136719,Quidbo,
20000316_0,0.3984617590904236,Baranquilla,
20000316_1,4.979384422302246,Bogota,
20000316_2,7.996506214141846,Cali,
20000316_3,90.41937255859375,Quidbo,
20000321_0,0.40999141335487366,Baranquilla,
20000321_1,35.15625762939453,Bogota,
20000321_2,30.755966186523438,Cali,
20000321_3,43.50242233276367,Quidbo,
20000326_0,4.395718097686768,Baranquilla,
20000326_1,17.343162536621094,Bogota,
20000326_2,26.170515060424805,Cali,
20000326_3,89.24625396728516,Quidbo,
20000401_0,0.5149197578430176,Baranquilla,
20000401_1,10.479138374328613,Bogota,
20000401_2,32.28679656982422,Cali,
20000401_3,131.3074493408203,Quidbo,
20000406_0,1.6634494066238403,Baranquilla,
20000406_1,7.333226203918457,Bogota,
20000406_2,6.518479824066162,Cali,
20000406_3,116.8618392944336,Quidbo,
20000411_0,2.0610556602478027,Baranquilla,
20000411_1,27.452999114990234,Bogota,
20000411_2,32.988914489746094,Cali,
20000411_3,88.32962036132812,Quidbo,
20000416_0,3.168138027191162,Baranquilla,
20000416_1,6.103865623474121,Bogota,
20000416_2,12.31431770324707,Cali,
20000416_3,45.726810455322266,Quidbo,
20000421_0,11.417222023010254,Baranquilla,
20000421_1,8.297205924987793,Bogota,
20000421_2,23.736757278442383,Cali,
20000421_3,178.73133850097656,Quidbo,
20000426_0,2.0640735626220703,Baranquilla,
20000426_1,7.387552261352539,Bogota,
20000426_2,16.47801971435547,Cali,
20000426_3,179.4481201171875,Quidbo,
20000501_0,4.543986797332764,Baranquilla,
20000501_1,17.239681243896484,Bogota,
20000501_2,34.2866096496582,Cali,
20000501_3,228.12664794921875,Quidbo,
20000506_0,11.94088077545166,Baranquilla,
20000506_1,18.545961380004883,Bogota,
20000506_2,25.397483825683594,Cali,
20000506_3,142.87551879882812,Quidbo,
20000511_0,10.885479927062988,Baranquilla,
20000511_1,18.747251510620117,Bogota,
20000511_2,22.640628814697266,Cali,
20000511_3,54.55789566040039,Quidbo,
20000516_0,6.328758716583252,Baranquilla,
20000516_1,15.141427040100098,Bogota,
20000516_2,51.5103645324707,Cali,
20000516_3,178.13734436035156,Quidbo,
20000521_0,11.353728294372559,Baranquilla,
20000521_1,5.9929399490356445,Bogota,
20000521_2,19.314632415771484,Cali,
20000521_3,123.47911834716797,Quidbo,
20000526_0,7.131112575531006,Baranquilla,
20000526_1,17.4162540435791,Bogota,
20000526_2,31.37882423400879,Cali,
20000526_3,173.3773956298828,Quidbo,
20000601_0,14.193994522094727,Baranquilla,
20000601_1,9.395188331604004,Bogota,
20000601_2,7.287184238433838,Cali,
20000601_3,122.11984252929688,Quidbo,
20000606_0,3.559070110321045,Baranquilla,
20000606_1,16.29775619506836,Bogota,
20000606_2,22.94961166381836,Cali,
20000606_3,80.64955139160156,Quidbo,
20000611_0,4.113016605377197,Baranquilla,
20000611_1,5.782130241394043,Bogota,
20000611_2,9.9702730178833,Cali,
20000611_3,180.19981384277344,Quidbo,
20000616_0,4.529684543609619,Baranquilla,
20000616_1,8.119709014892578,Bogota,
20000616_2,15.34538459777832,Cali,
20000616_3,125.51303100585938,Quidbo,
20000621_0,28.809104919433594,Baranquilla,
20000621_1,27.168567657470703,Bogota,
20000621_2,28.448434829711914,Cali,
20000621_3,180.64437866210938,Quidbo,
20000626_0,0.7623060941696167,Baranquilla,
20000626_1,4.799915313720703,Bogota,
20000626_2,3.9832065105438232,Cali,
20000626_3,116.5381088256836,Quidbo,
20000701_0,5.475611209869385,Baranquilla,
20000701_1,12.698777198791504,Bogota,
20000701_2,15.51103401184082,Cali,
20000701_3,80.69397735595703,Quidbo,
20000706_0,0.6592749953269958,Baranquilla,
20000706_1,6.4309492111206055,Bogota,
20000706_2,7.640920639038086,Cali,
20000706_3,109.31083679199219,Quidbo,
20000711_0,8.626416206359863,Baranquilla,
20000711_1,20.720914840698242,Bogota,
20000711_2,11.108705520629883,Cali,
20000711_3,133.36578369140625,Quidbo,
20000716_0,2.4842112064361572,Baranquilla,
20000716_1,16.418739318847656,Bogota,
20000716_2,18.049665451049805,Cali,
20000716_3,199.73193359375,Quidbo,
20000721_0,4.108109951019287,Baranquilla,
20000721_1,15.546036720275879,Bogota,
20000721_2,10.572566032409668,Cali,
20000721_3,141.73500061035156,Quidbo,
20000726_0,42.810699462890625,Baranquilla,
20000726_1,14.256878852844238,Bogota,
20000726_2,6.294589519500732,Cali,
20000726_3,204.8292694091797,Quidbo,
20000801_0,10.882097244262695,Baranquilla,
20000801_1,13.285236358642578,Bogota,
20000801_2,4.201633453369141,Cali,
20000801_3,148.15394592285156,Quidbo,
20000806_0,12.299482345581055,Baranquilla,
20000806_1,10.241142272949219,Bogota,
20000806_2,15.338944435119629,Cali,
20000806_3,53.88180160522461,Quidbo,
20000811_0,3.649932384490967,Baranquilla,
20000811_1,5.8344292640686035,Bogota,
20000811_2,2.285364866256714,Cali,
20000811_3,90.46076202392578,Quidbo,
20000816_0,0.6353501677513123,Baranquilla,
20000816_1,9.307893753051758,Bogota,
20000816_2,4.806856632232666,Cali,
20000816_3,114.77703094482422,Quidbo,
20000821_0,7.086206912994385,Baranquilla,
20000821_1,6.7710490226745605,Bogota,
20000821_2,3.8846893310546875,Cali,
20000821_3,132.63058471679688,Quidbo,
20000826_0,5.4438796043396,Baranquilla,
20000826_1,25.589324951171875,Bogota,
20000826_2,11.486639022827148,Cali,
